sku_ID,beta_posterior_mean,beta_posterior_sd,bucket
0059cabfce,1.3238082045688362,0.43262303873113284,7
019dedb453,1.4389027905548633,0.34064780980599185,4
01c99f44fd,3.8213758745546795,0.6582666929914068,2
01c9d91829,2.1697899369627165,0.6824133197967017,8
027604c03a,2.7545407697668742,0.5071298136655445,7
037a7eaab9,3.9483395675177664,0.7082750438154457,5
038abb41a5,2.5160535941146636,0.7278003962599141,6
03c4e04481,2.6792038896676194,0.7461872753052788,1
05db087f6b,0.25433330074124033,0.8023380514685792,0
067b673f2b,2.622600716955416,0.49446334081975274,5
068f4481b3,1.9662117986213623,0.6171108589988467,9
07beb67f19,2.202630789000348,0.6705592269119404,9
0867a302b3,3.2224269881646186,0.5183467341938797,6
08a61ca4e9,2.2400767898105802,0.7259750400281793,4
08a8d07a32,1.633938466611155,0.6244061542103205,0
09b82fac47,1.2672449906712666,0.31255846263791925,2
0aa7e6b035,2.189646245850938,0.46111021825573884,8
0b16a50488,2.4574486116818535,0.5944942234192051,7
0b2fd9f253,1.9187623819786124,0.4272351547199854,0
0bfcedf96d,4.046860996015777,0.6664590773489519,7
0c8653db6f,3.8564600682741905,0.6014649955144722,2
0d195bc9e8,2.674938064933761,0.6140339563554751,5
0e0989fb7e,3.3123464847646615,0.39923651817144645,8
0e5f9e5881,2.146494570081943,0.4675916427838754,5
0eb4088cb7,2.9768159412327253,0.661655669133858,9
0f39ba16fa,2.1515171593518474,0.523450243625345,2
12797fae91,2.254442410587777,0.6092119662092818,2
12e5f27006,1.2710325499595378,0.8707241124831689,0
14dd743b19,2.142056762049283,0.6908907222640682,7
150a935961,3.9228845108435677,0.4963363537082642,1
15bb848d24,2.7053743401480683,0.7414443387897874,4
17054160bd,1.855151250311167,0.6889064417762878,8
179cb54d5b,2.4947939853654537,0.758644806177798,4
17f589d2e0,2.978957660566958,0.5787719120619352,4
187f5f0e3e,2.545544989137338,0.6704378172020886,7
197bb1c505,2.621459983233957,0.5166497008243282,6
19fa84df76,2.155892365874595,0.4638625413825744,4
1a2362c248,2.848030249122515,0.47138296884423314,7
1b3f5d4d21,2.7076233128486615,0.607588974124128,9
1d1322acca,0.6019445164429142,0.8744987244472511,0
1d1e21c937,2.2583492884103107,0.6007883535904129,5
1d35e881f9,1.005946634221665,0.1743723004945212,0
1d3b8e84d1,1.9288443739618935,0.6650312607405325,8
1d5ffa8485,2.5712187405131504,0.4652413021654764,6
1ecdfb0e7a,2.467514666839029,0.781434854750638,2
2096e81519,2.4371126447741536,0.6948920838678708,7
20dfdf27af,2.756782352668245,0.7435591458048919,1
213fdcf150,3.201540417906669,0.5294372003356485,3
2189b70880,0.6481590318525788,0.14683991771923957,0
220d3a1415,3.3171211926994855,0.5813947423247212,6
23015831b0,2.584387276029084,0.7155180612791268,3
23553000ce,2.0504062378947836,0.687740818819417,8
2459a97bb9,2.0562173644575212,0.6863275245546402,9
2523d051fd,2.5193390199007006,0.5941854684307979,9
2570eac124,0.8791578577272718,0.7361811327226042,0
259ac48bad,3.446368173146336,0.6575849209291643,5
25bb9108b3,0.33159255388757714,0.6892963567127056,2
26ac0ddc9a,2.4983033397084795,0.6809448617418465,3
26e48fec3f,1.4104653689590005,0.8328550154014664,0
26e590cf39,3.617928342110852,0.6070480661262541,8
274b538b26,1.1423479278318907,0.12202335683800501,3
27d8c800fc,2.8247579581685174,0.4052809960730694,3
2875387e96,2.6011402997248814,0.48958871097187,5
28d5600aac,2.767755146573611,0.7271667787309319,4
29e4f19c34,2.6517905458910374,0.728254584814466,1
2b5bc1eb2f,3.1265247300758445,0.585707050866529,3
2cb79462fb,1.3745640371923866,0.4748015412724335,5
2ddb64e05a,2.4341269926945563,0.7109085714250777,3
2e06817802,2.55091957463547,0.5933807019069702,1
2e6929ecb9,2.517683984273174,0.7125171982332046,5
2e69af1fdf,2.7207876352724343,0.5696640519336564,8
2e9edf9c28,1.8586663317164098,0.6543413164664674,6
2efec424df,1.9377810685368666,0.39226750461824245,0
2f038132e8,2.421710363546421,0.5019778797680051,8
2f268cf558,2.199962378829107,0.5996500552772271,9
3006be8d9d,2.704230039213278,0.7619701608633359,1
303d1408fa,2.0224290817589714,0.6574060142862408,6
308d5bcbd4,3.5644859819687253,0.6200869380024826,1
30c82f45dd,0.6165996052246036,0.920015939423992,0
310ca2e122,3.0909319758170466,0.4857722651181631,3
32118a2170,0.7171019927908803,0.5076923772574132,4
32257a8103,0.8407165219695044,0.32430063627924516,2
3277f07585,2.2534464262076006,0.6847537653463425,7
32c0b31fb8,2.376682053644391,0.6260653344717881,8
3320c0db64,3.7501244888807665,0.43821149656434155,2
3418d59e22,0.7932166408719981,0.5353988428364045,0
345e86916d,2.5236932686947684,0.7227564516868269,4
34dc7f6d80,3.8623635512124066,0.5819205648804795,4
35674a6b48,3.3722429908750264,0.5026801283577503,4
369eb7dbd3,3.420154680380535,0.5535210960050146,1
375d4a9a65,1.4849360259556814,0.40378561238481125,3
3767b112e8,2.0164833221114034,0.713696279175231,8
3791b54a5a,0.4388528631475558,0.4186687796768037,0
38676d45f5,4.606814177862264,0.49639688680012944,5
38d636d2a6,2.1423949985033808,0.6966559482098056,7
3a64d9667a,2.7583254425363832,0.5467156814474968,6
3a8e212d9e,1.8472844011127854,0.726116294400888,2
3c0e1b743c,1.0702456987147786,0.648412868878301,8
3c79df1d80,1.9040516663515945,0.6702291037917733,2
3c953b3822,2.721805653688249,0.7470740912964021,3
3ce8749fee,2.5500573515416334,0.5397741585063301,3
3d5fa3dec8,2.3522845181094523,0.712035399798973,7
3dd5460585,2.8215885520602506,0.6885752954326206,2
3e290dff84,2.729598886143103,0.7590556372450814,5
3f83e1dbf4,2.706697332851615,0.7324669083157049,3
40ae9f0d67,2.3057923333383066,0.5219195851173802,7
416aed740e,2.0885569691371244,0.2597031673682956,7
427bea8ec7,2.4893662691259886,0.7325022479004034,3
42fdebaa3d,1.8282446372243957,0.6907443739779369,1
430abd619f,0.06466467546241406,0.3300127261392967,0
4336d67c86,2.5532011127923484,0.5459294286518142,5
449c05c9c8,2.711346255394303,0.6006420269901179,1
4639121a45,3.4373977536203575,0.5859074658176412,4
481dac0e58,0.49650877779502317,0.5219748526509405,2
489e39741e,2.317433426228385,0.6344593456595371,6
48c26fa27d,2.6261919344997007,0.7196726623876963,4
49501bcf46,1.4469762830637425,0.6327869035422884,9
49ad890e8e,2.531434267868049,0.6296244328927196,1
4a915b7b62,2.042833459767713,0.6405379988432979,4
4b65db43ac,2.8332203702118632,0.48212158115160886,5
4c81b29e5c,2.284385657712395,0.6992825289462887,6
4cc8f09850,3.4079956631261688,0.6865885884541177,1
4d380cf119,2.5247186474288386,0.6363477184551418,9
4d9f23c326,1.741441959621281,0.5883687259369271,0
4da2507f14,2.4406223887417577,0.7253921271180667,4
4dab662872,1.5085634065148614,0.8036933690564991,0
4dffe8578b,2.94844573986781,0.6532154112956844,4
4ef4bbfa4e,2.679929182314644,0.7683358393176798,1
4f62903827,2.3372529338721044,0.7792917137015205,1
50b53a8536,2.3845800451336707,0.6403004490052814,6
50f6f91962,2.1634617109129133,0.7349888157538857,4
515681ff8f,2.35833080425118,0.7354656592750983,6
5173dd4602,3.148763712835023,0.5536658657737294,7
5177446f80,2.407666220400808,0.7411988479507341,4
53c4b04fcf,2.3162941164790816,0.7284043931677776,4
56b746bd59,2.176665546452097,0.693599259679905,3
57399f9289,3.0056294355898108,0.29009142990384434,4
57f48cfb44,1.8395275021504671,0.7243858445295493,2
581d5b54c1,2.183954327044498,0.6163981771395843,7
589c2b865b,2.7285260733010435,0.4532403861761867,4
58f283581d,2.3021312912564054,0.7472530128396156,4
593b9c70a6,3.092226595176145,0.5079366736045584,6
5ac0776890,2.4497608712465757,0.6860787824256912,3
5bbc09f6b3,0.8247555125246068,0.6757363872383217,0
5bc7233fdb,2.5640745266696565,0.7128249781456809,5
5c0e359c9b,2.932587358556021,0.7276913003341313,5
5c15aed2ae,3.388124418302323,0.4272929950247973,7
5c4440c9d2,0.08651180893040998,0.37373599345720887,1
5c58b30eee,2.2702049798287134,0.5445355451246602,4
5d6fe2f69b,2.6265421786521213,0.784186722474655,3
5e417fca35,2.3666851288545616,0.739518863239083,6
5eced3cd82,2.1919747318603657,0.735589154413186,6
5f413aa088,2.096574757737827,0.698617770687576,7
5f58bfd286,2.780171691556949,0.5351814099948752,3
5f7dce4e3e,3.7571907971114715,0.6950796617564557,2
5fd7b0d6f9,2.0072414873455067,0.31598414678759024,7
60e40f546d,2.6835590599071484,0.8059542177619068,1
6178c2ce1a,3.8087392666548565,0.7532404787078898,3
61d2064f05,3.082469828377018,0.6215378747304255,1
624b63249a,2.123665894813225,0.673299507005067,9
637a52ea80,1.969300856240948,0.7015725029880282,8
63e0004aa9,2.2413828686076345,0.6009291969564522,0
63e15f99b5,2.185136358057225,0.679431268434919,6
64f100aaee,2.9305163646139407,0.7403826335281928,1
65d2875d48,3.2837652570526177,0.5838280127585743,9
667bce9acb,1.9042903253719146,0.6942497155654371,4
6691174140,2.80944786992005,0.7035373745956194,5
66ab6d8963,2.3692635932524957,0.7012188728170099,2
66bd21ebf1,2.2234623233355113,0.6867186393966208,5
